Package                                   Version               Build                         Size       Kind   Source
libmpdec                                  4.0.0                 h5505292_0                    70.1 KiB   conda  https://conda.anaconda.org/conda-forge/
libnghttp2                                1.64.0                h6d7220d_0                    553.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libogg                                    1.3.5                 h48c0fde_1                    211.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libopenblas                               0.3.30                openmp_hf332438_0             4 MiB      conda  https://conda.anaconda.org/conda-forge/
libopentelemetry-cpp                      1.21.0                h0181452_0                    548.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libopentelemetry-cpp-headers              1.21.0                hce30654_0                    352.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libopus                                   1.5.2                 h48c0fde_0                    292.5 KiB  conda  https://conda.anaconda.org/conda-forge/
libparquet                                20.0.0                h636d7b7_8_cpu                873.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libpng                                    1.6.49                h3783ad8_0                    253.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libprotobuf                               5.29.3                hccd9074_1                    2.5 MiB    conda  https://conda.anaconda.org/conda-forge/
libre2-11                                 2025.06.26            hd41c47c_0                    163.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libsentencepiece                          0.2.0                 h98efcbe_11                   737.5 KiB  conda  https://conda.anaconda.org/conda-forge/
libsndfile                                1.2.2                 h9739721_1                    309.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libsodium                                 1.0.20                h99b78c6_0                    161.1 KiB  conda  https://conda.anaconda.org/conda-forge/
libsqlite                                 3.50.2                h6fb428d_0                    880.4 KiB  conda  https://conda.anaconda.org/conda-forge/
libssh2                                   1.11.1                h1590b86_0                    272.6 KiB  conda  https://conda.anaconda.org/conda-forge/
libthrift                                 0.21.0                h64651cc_0                    316.7 KiB  conda  https://conda.anaconda.org/conda-forge/
libtiff                                   4.7.0                 h2f21f7c_5                    362.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libtorch                                  2.7.1                 cpu_generic_hb046d2d_0        28.2 MiB   conda  https://conda.anaconda.org/conda-forge/
libutf8proc                               2.10.0                h74a6958_0                    81.9 KiB   conda  https://conda.anaconda.org/conda-forge/
libuv                                     1.51.0                h5505292_0                    410.8 KiB  conda  https://conda.anaconda.org/conda-forge/
libvorbis                                 1.3.7                 h9f76cd9_0                    248.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libwebp-base                              1.5.0                 h2471fea_0                    283.2 KiB  conda  https://conda.anaconda.org/conda-forge/
libxcb                                    1.17.0                hdb1d25a_0                    316.1 KiB  conda  https://conda.anaconda.org/conda-forge/
libxml2                                   2.13.8                hcc23dba_0                    569.5 KiB  conda  https://conda.anaconda.org/conda-forge/
libzlib                                   1.3.1                 h8359307_2                    45.3 KiB   conda  https://conda.anaconda.org/conda-forge/
llvm-openmp                               20.1.7                hdb05f8b_0                    275.4 KiB  conda  https://conda.anaconda.org/conda-forge/
lz4-c                                     1.10.0                h286801f_1                    145.3 KiB  conda  https://conda.anaconda.org/conda-forge/
markdown-it-py                            3.0.0                 pyhd8ed1ab_1                  62.9 KiB   conda  https://conda.anaconda.org/conda-forge/
markupsafe                                3.0.2                 py313ha9b7d5b_1               24.2 KiB   conda  https://conda.anaconda.org/conda-forge/
max-core                                  25.5.0.dev2025070105  release                       179.4 MiB  conda  https://conda.modular.com/max-nightly/
max-pipelines                             25.5.0.dev2025070105  release                       9.8 KiB    conda  https://conda.modular.com/max-nightly/
max-python                                25.5.0.dev2025070105  release                       15.3 MiB   conda  https://conda.modular.com/max-nightly/
mblack                                    25.5.0.dev2025070105  release                       128.2 KiB  conda  https://conda.modular.com/max-nightly/
mdurl                                     0.1.2                 pyhd8ed1ab_1                  14.1 KiB   conda  https://conda.anaconda.org/conda-forge/
modular                                   25.5.0.dev2025070105  release                       9.2 KiB    conda  https://conda.modular.com/max-nightly/
mpc                                       1.3.1                 h8f1351a_1                    102.3 KiB  conda  https://conda.anaconda.org/conda-forge/
mpfr                                      4.2.1                 hb693164_3                    337.4 KiB  conda  https://conda.anaconda.org/conda-forge/
mpg123                                    1.32.9                hf642e45_0                    352.3 KiB  conda  https://conda.anaconda.org/conda-forge/
mpmath                                    1.3.0                 pyhd8ed1ab_1                  429.4 KiB  conda  https://conda.anaconda.org/conda-forge/
msgspec                                   0.19.0                py313h90d716c_1               188 KiB    conda  https://conda.anaconda.org/conda-forge/
multidict                                 6.6.3                 py313h6347b5a_0               84.8 KiB   conda  https://conda.anaconda.org/conda-forge/
multiprocess                              0.70.16               py313h20a7fcf_1               340.6 KiB  conda  https://conda.anaconda.org/conda-forge/
mypy_extensions                           1.1.0                 pyha770c72_0                  11.5 KiB   conda  https://conda.anaconda.org/conda-forge/
ncurses                                   6.5                   h5e97a16_3                    778.3 KiB  conda  https://conda.anaconda.org/conda-forge/
networkx                                  3.5                   pyhe01879c_0                  1.5 MiB    conda  https://conda.anaconda.org/conda-forge/
ninja                                     1.13.0                ha024513_0                    161.5 KiB  conda  https://conda.anaconda.org/conda-forge/
